work_id,year,num_authors,author_ids,citations,is_oa,has_grant,issn,quartile,journal_name
W3001897055,2020,18,"A5112999757,A5043631759,A5057178901,A5101925685,A5072820962,A5031203283,A5079882302,A5063481153,A5079289072,A5112492347,A5045195522,A5109113291,A5078433604,A5101759768,A5102005952,A5042900498,A5015873777,A5053933911",28903,True,False,00284793,Q1,New England Journal of Medicine
W3009885589,2020,19,"A5012294253,A5100655339,A5102865683,A5082759663,A5100414097,A5100748265,A5018032427,A5101454711,A5077957037,A5101081875,A5065156494,A5100707411,A5034485071,A5003556048,A5062226704,A5001851890,A5100388089,A5110426873,A5100613209",27762,True,False,01406736,Q1,The Lancet
W1757407923,2014,9,"A5051830072,A5057880586,A5049513467,A5025276497,A5017081649,A5107405263,A5060764581,A5111768129,A5064215217",27070,True,False,00207136,Q1,International Journal of Cancer
W2917837889,2015,6,"A5110967014,A5064215217,A5047300895,A5051830072,A5003542814,A5009198168",26227,True,False,00079235,Q1,CA A Cancer Journal for Clinicians
W2401404581,2016,6,"A5027561072,A5050867199,A5053271325,A5109270097,A5013259998,A5003674456",25756,True,False,15487091,Q1,Nature Methods
W2051978340,2015,12,"A5109352890,A5023488789,A5060138620,A5051040365,A5101858681,A5006908499,A5113656961,A5041071963,A5108794005,A5057599208,A5044060554,A5014144046",25715,True,False,10983600,Q1,Genetics in Medicine
W2145339207,2015,19,"A5008904142,A5090341705,A5091771290,A5101742327,A5060709021,A5001087292,A5043473089,A5041323275,A5032865587,A5016618355,A5050109164,A5018388854,A5012250683,A5021217383,A5048371195,A5048551460,A5053990531,A5008987732,A5005349213",25637,False,False,00280836,Q1,Nature
W2891378911,2018,28,"A5074901391,A5031902837,A5032497384,A5024431380,A5065487003,A5069537707,A5068353058,A5055760362,A5085699502,A5111619792,A5085697520,A5041615321,A5080252384,A5081964815,A5082927689,A5010229710,A5011923288,A5079953196,A5001327852,A5065626862,A5068524232,A5087076550,A5083088424,A5058378544,A5007855965,A5062080271,A5034889366,A5007761401",25558,True,False,00034819,Q1,Annals of Internal Medicine
W2588681363,2017,7,"A5076787674,A5101621486,A5066162583,A5057325863,A5078408795,A5101587265,A5100458374",23940,True,False,16617800,Q1,Neonatology
W2105846236,2014,3,"A5008753312,A5087109003,A5053369574",23597,True,False,00920703,Q1,Journal of the Academy of Marketing Science
W2132454074,2014,1,A5042885999,23589,True,False,20532733,Q2,Acta Crystallographica Section A Foundations and Advances
W3004280078,2020,29,"A5083165835,A5039460637,A5002787853,A5103013886,A5100767849,A5100622062,A5102379144,A5060118564,A5100356466,A5101094927,A5017187601,A5100394807,A5077234479,A5018411180,A5050578152,A5029219116,A5100383015,A5101077869,A5101507174,A5102343941,A5100647548,A5029583070,A5110191677,A5100409376,A5012216290,A5112582604,A5027156402,A5111259036,A5100689158",22126,True,False,00280836,Q1,Nature
W2161374186,2015,8,"A5068353058,A5091561305,A5068789733,A5043048253,A5113499690,A5055244038,A5109914479,A5082927689",21921,True,False,20464053,Q1,Systematic Reviews
W3002108456,2020,14,"A5079000753,A5049496067,A5059448769,A5102001216,A5087860738,A5100657871,A5015539974,A5018313165,A5100414285,A5100344847,A5024929222,A5100655339,A5100375454,A5100425676",21833,True,True,01406736,Q1,The Lancet
W3025949386,2020,43,"A5051170302,A5015001509,A5025954456,A5052671847,A5087576182,A5049740980,A5076677580,A5088422081,A5085254598,A5079340690,A5086244205,A5060475316,A5019784192,A5018520453,A5021304034,A5005317955,A5013657038,A5038545789,A5048323819,A5058425683,A5060417938,A5019171397,A5040608006,A5020478929,A5062518836,A5012391383,A5101728847,A5022496698,A5112530752,A5027951850,A5081199934,A5033708738,A5011616795,A5088749134,A5008668264,A5024435893,A5024245007,A5016465897,A5056408351,A5018816610,A5073268552,A5023844474,A5019775443",21419,True,False,00359009,Q1,Quarterly Journal of the Royal Meteorological Society
W2280404143,2016,19,"A5022102306,A5091517222,A5105662495,A5012228981,A5068616089,A5068261184,A5011216396,A5052393113,A5073851208,A5012550644,A5001543982,A5000157972,A5070604004,A5031081653,A5025379878,A5110810503,A5048965254,A5003379719,A5001670387",21195,True,False,00987484,Q1,JAMA
W2111647009,2014,4,"A5110523329,A5008754104,A5085983122,A5019880902",21150,True,False,07374038,Q1,Molecular Biology and Evolution
W2149868499,2015,1,A5063609461,20923,False,False,15248399,Q1,Health Promotion Practice
W2327037637,2016,2,"A5022978461,A5078472427",20570,True,False,15563707,Q2,Journal of Chiropractic Medicine
W1031578623,2015,7,"A5052129734,A5073365583,A5041396463,A5009705616,A5018366869,A5050108763,A5008875190",20233,True,True,23527110,Q3,SoftwareX
W3009912996,2020,13,"A5019620317,A5044441675,A5074494709,A5082143205,A5063536124,A5083074687,A5033152934,A5065412037,A5028405920,A5007303691,A5109246066,A5011461272,A5004595481",20093,True,True,00928674,Q1,Cell
W2102278945,2015,3,"A5029419214,A5009556658,A5010384159",19440,True,False,15487091,Q1,Nature Methods
W2167311298,2015,9,"A5035950418,A5059909558,A5084320362,A5059169253,A5075307649,A5083247761,A5005516164,A5001877044,A5009640664",19359,True,False,0304324X,Q2,Gerontology
W2427094903,2016,21,"A5017272571,A5074566771,A5003943960,A5053660748,A5017160240,A5051264655,A5018896453,A5045256592,A5108256281,A5073994077,A5076697833,A5031285642,A5108102385,A5083351017,A5009905903,A5035704904,A5068884647,A5040062593,A5013727186,A5037661370,A5107929154",19173,True,False,0195668X,Q1,European Heart Journal
W2911188335,2019,3,"A5047300895,A5015181760,A5009198168",18887,True,False,00079235,Q1,CA A Cancer Journal for Clinicians
W2412782625,2017,5,"A5103273466,A5034294456,A5077035803,A5002713363,A5086706224",18863,True,False,01628828,Q1,IEEE Transactions on Pattern Analysis and Machine Intelligence
W2134526812,2014,3,"A5022280742,A5014255302,A5029601108",18807,True,False,13674803,Q1,Bioinformatics
W2999417355,2020,3,"A5047300895,A5015181760,A5009198168",18694,True,False,00079235,Q1,CA A Cancer Journal for Clinicians
W2008854521,2014,5,"A5047366834,A5057877217,A5043520931,A5068408229,A5053956008",18680,False,False,0304324X,Q2,Gerontology
W2774486220,2017,3,"A5070348662,A5069382830,A5086458689",18120,True,False,15487660,Q1,Journal of Statistical Software
W2951912016,2018,4,"A5002901852,A5052814282,A5037446400,A5100755117",18057,True,True,13674803,Q1,Bioinformatics
W3165656738,2020,14,"A5100445416,A5100613772,A5078130488,A5101803333,A5100381485,A5054506908,A5100415572,A5053084000,A5101711490,A5063789000,A5101697933,A5100677894,A5009012652,A5030775865",17543,True,False,00987484,Q1,JAMA
W2000380427,2015,1,A5060754876,17460,False,False,1743727X,Q1,International Journal of Research & Method in Education
W3003668884,2020,45,"A5100426166,A5112245971,A5011439848,A5100668249,A5101714940,A5030155090,A5112645115,A5029917806,A5068660339,A5057572365,A5042728044,A5110760432,A5101874184,A5100323172,A5100340176,A5100380730,A5113745163,A5101626696,A5100658156,A5101109502,A5042452119,A5074584778,A5111759101,A5086654710,A5110798721,A5028153158,A5100387631,A5004095744,A5100390838,A5067385781,A5100319229,A5113050265,A5100397719,A5086287153,A5035157608,A5081253261,A5100430703,A5082784333,A5033703745,A5068852445,A5015873777,A5074151633,A5072820962,A5032186734,A5100866265",17217,True,True,00284793,Q1,New England Journal of Medicine
W3008028633,2020,2,"A5012397238,A5075384865",17095,False,False,00987484,Q1,JAMA
W3099878876,2020,26,"A5111383725,A5086174915,A5070493940,A5047155247,A5064221962,A5023051838,A5038378109,A5063031983,A5057962218,A5054683366,A5085464473,A5026709986,A5070161680,A5031567163,A5047540997,A5061246105,A5036892676,A5008226559,A5051733624,A5051821507,A5074480488,A5061717074,A5050562889,A5080357715,A5000948508,A5019360202",17074,True,False,00280836,Q1,Nature
W2884585870,2018,4,"A5050850544,A5100721990,A5044267273,A5012455275",16882,False,False,03029743,Q2,Lecture notes in computer science
W2963276645,2019,100,"A5014309302,A5045260328,A5044141437,A5000165682,A5012823292,A5058766687,A5013626144,A5091119492,A5058914957,A5023870348,A5100630907,A5068812632,A5066967353,A5051319454,A5000856048,A5036229691,A5027561072,A5012057261,A5104274724,A5012356079,A5063348766,A5004117093,A5082720301,A5001579116,A5021434656,A5078594398,A5081796051,A5010086188,A5049341324,A5023589584,A5032648643,A5064118261,A5037837504,A5101532298,A5000991724,A5021380321,A5063135788,A5003674456,A5072721379,A5008844345,A5091335490,A5065650315,A5084397587,A5066665482,A5069233200,A5024849145,A5043637496,A5045601734,A5049973896,A5082358375,A5046633037,A5084827722,A5089511913,A5061354858,A5003368129,A5066589732,A5100765918,A5047818038,A5086938254,A5090166556,A5009540046,A5022081563,A5022461817,A5055202207,A5011189475,A5081142594,A5091486856,A5039009666,A5015750563,A5007031983,A5081815233,A5090259722,A5019273406,A5017863068,A5012059205,A5034532474,A5003436229,A5009625579,A5085522942,A5028011279,A5068955749,A5068576885,A5033941906,A5073261976,A5084125220,A5007034049,A5045792442,A5005856984,A5010836192,A5058418462,A5053110644,A5060283036,A5079232459,A5003179870,A5075156076,A5086305028,A5024143614,A5080956415,A5072785379,A5025148058",16790,True,False,10870156,Q1,Nature Biotechnology
W2076063813,2014,1,A5071172037,16680,True,True,08936080,Q1,Neural Networks
W2944434778,2019,11,"A5016939870,A5091771382,A5088605588,A5019832012,A5086831577,A5058823353,A5088803813,A5014398074,A5023489769,A5086205928,A5088872453",16649,True,False,15320464,Q1,Journal of Biomedical Informatics
W2104549677,2015,100,"A5047245152,A5078559681,A5100340817,A5082040351,A5078559681,A5109214093,A5109332521,A5042388690,A5077722090,A5014870107,A5006816272,A5108378152,A5059626751,A5107829546,A5068997042,A5013672213,A5071136927,A5020748592,A5100716198,A5019720850,A5054642128,A5000369565,A5000481707,A5107596584,A5078218837,A5085914713,A5111964102,A5014714324,A5059626751,A5044048476,A5050577909,A5088473119,A5034973328,A5110259138,A5100716198,A5037749785,A5057175194,A5100559157,A5111964102,A5077722217,A5058327122,A5052083635,A5009510775,A5016529100,A5031168904,A5083114703,A5024331115,A5100368556,A5032136842,A5064592001,A5050221114,A5100441085,A5090998485,A5073827104,A5004406489,A5003334032,A5065676200,A5020221893,A5031902165,A5100451926,A5079060255,A5100386756,A5100709477,A5062237479,A5065200226,A5017712234,A5020748592,A5100340817,A5108378152,A5101581051,A5010180174,A5059315543,A5002408945,A5053179789,A5006816272,A5071626276,A5082531083,A5078770916,A5044085246,A5050467747,A5015292353,A5034321074,A5052502792,A5034697550,A5111889793,A5003523155,A5111673634,A5065726505,A5040090561,A5004687813,A5042311778,A5008709883,A5109214093,A5113658176,A5035692364,A5039537064,A5041061023,A5019720850,A5080403228,A5008901751",16622,True,False,00280836,Q1,Nature
W2963881378,2017,3,"A5084236726,A5109431803,A5018207993",16430,True,False,01628828,Q1,IEEE Transactions on Pattern Analysis and Machine Intelligence
W2272984102,2016,9,"A5083719308,A5073808064,A5064186655,A5104832272,A5004337669,A5064215217,A5009198168,A5004937788,A5100685161",16318,True,False,00079235,Q1,CA A Cancer Journal for Clinicians
W2560438049,2016,4,"A5026923999,A5048380144,A5045912789,A5089912733",16196,True,False,20464053,Q1,Systematic Reviews
W1523693806,2015,5,"A5100340464,A5037591628,A5100870199,A5031957363,A5058567619",16091,True,False,10158987,Q2,Cellular Physiology and Biochemistry
W2905811773,2018,4,"A5021051472,A5064459167,A5053369574,A5087109003",15844,False,False,0955534X,Q1,European Business Review
W843007777,2015,7,"A5052174858,A5028006288,A5013313042,A5103493080,A5024173189,A5037112503,A5112196810",15761,True,False,00334545,Q2,Pure and Applied Chemistry
W2781525129,2018,3,"A5047300895,A5015181760,A5009198168",15727,True,False,00079235,Q1,CA A Cancer Journal for Clinicians
W2235523093,2016,3,"A5047300895,A5015181760,A5009198168",15685,True,False,00079235,Q1,CA A Cancer Journal for Clinicians
W2900569176,2018,12,"A5061581536,A5010825633,A5064443056,A5006363776,A5106122722,A5050318013,A5072338334,A5103353640,A5054399637,A5074309419,A5005772961,A5000334281",15381,True,True,03051048,Q1,Nucleic Acids Research
W2124624517,2015,18,"A5049765310,A5036761815,A5021369527,A5072402610,A5059264529,A5087626806,A5020932112,A5112319973,A5065829841,A5048024665,A5034995895,A5045975461,A5016136470,A5022195731,A5043014936,A5012681318,A5000844027,A5016878366",15181,True,False,08947317,Q1,Journal of the American Society of Echocardiography
W2096093282,2014,1,A5088404965,15158,False,False,13674803,Q1,Bioinformatics
W2572174216,2017,8,"A5112632135,A5107467037,A5053912819,A5040627067,A5073591248,A5073040359,A5062554003,A5018399640",15054,True,False,02508095,Q1,American Journal of Nephrology
W2580767461,2017,12,"A5050526698,A5107657538,A5045599140,A5025596722,A5100398365,A5026483005,A5001786419,A5106133480,A5000652565,A5040274092,A5061082822,A5008413640",14899,True,False,20452322,Q1,Scientific Reports
W3119005666,2021,4,"A5047300895,A5015181760,A5086800123,A5009198168",14747,True,False,00079235,Q1,CA A Cancer Journal for Clinicians
W2257979135,2016,20,"A5091771290,A5006011042,A5054711904,A5009305837,A5053301405,A5025210358,A5080518618,A5021217383,A5008968626,A5049659586,A5034960578,A5077188995,A5058201889,A5059729571,A5006446297,A5066294254,A5059103439,A5090341705,A5051619646,A5005349213",14718,False,False,00280836,Q1,Nature
W2061438946,2014,3,"A5091500375,A5071437793,A5063313173",14704,False,False,09659978,Q1,Advances in Engineering Software
W3006659024,2020,7,"A5021126287,A5039261458,A5068277529,A5034415718,A5091639078,A5077472317,A5103816868",14599,True,False,01406736,Q1,The Lancet
W1849277567,2014,2,"A5057828550,A5089960673",14589,False,False,03029743,Q2,Lecture notes in computer science
W2145150141,2015,16,"A5073085667,A5089114785,A5073636065,A5063651408,A5111630451,A5020353829,A5083770629,A5012484496,A5027785364,A5041250553,A5068216862,A5084622735,A5039439529,A5043779853,A5009898984,A5004080743",14563,True,False,10507256,Q1,Thyroid
W4206841660,2022,4,"A5047300895,A5015181760,A5086800123,A5009198168",14526,True,False,00079235,Q1,CA A Cancer Journal for Clinicians
W2036145275,2014,2,"A5063517746,A5003737733",14400,True,False,10158987,Q2,Cellular Physiology and Biochemistry
W2570618306,2017,3,"A5047300895,A5015181760,A5009198168",14342,True,False,00079235,Q1,CA A Cancer Journal for Clinicians
W4251751280,2021,3,"A5007823743,A5067791761,A5100680948",14170,True,False,07374038,Q1,Molecular Biology and Evolution
W2366536035,2016,10,"A5021122229,A5052983963,A5014129073,A5052657395,A5111547791,A5072507966,A5103530823,A5111874068,A5017135203,A5071632296",14098,False,False,00016322,Q1,Acta Neuropathologica
W3111255098,2020,29,"A5001090261,A5059606373,A5014880604,A5087564717,A5067206456,A5042729050,A5025483944,A5109595342,A5042806017,A5091416598,A5102369312,A5023919527,A5016431348,A5020500638,A5100435537,A5072923693,A5101834037,A5039460332,A5107926156,A5000036560,A5073008232,A5111279142,A5090594476,A5051925652,A5060704252,A5045224941,A5075617216,A5044292989,A5086524484",13861,True,True,00284793,Q1,New England Journal of Medicine
W1845447069,2015,5,"A5066725852,A5112824683,A5051045938,A5007726770,A5111494656",13654,True,False,14208008,Q2,Dementia and Geriatric Cognitive Disorders
W3092849554,2020,100,"A5007119101,A5112677199,A5022331752,A5020081921,A5103201651,A5016971429,A5038454257,A5039134870,A5081409858,A5004128917,A5068915111,A5015334869,A5051258190,A5114083534,A5051803014,A5022099745,A5073588344,A5014846631,A5024753707,A5058948939,A5053699466,A5026327806,A5075629581,A5025832040,A5089232733,A5111625147,A5028307745,A5089325874,A5051692662,A5028948429,A5066858273,A5054428913,A5073195032,A5030523667,A5054276792,A5022120849,A5100647892,A5022776797,A5100693052,A5004513221,A5011598532,A5063768278,A5022954543,A5074539440,A5019189772,A5047490642,A5061878115,A5085634981,A5101711502,A5101711502,A5043822651,A5050954407,A5061311900,A5075507875,A5042386888,A5022947458,A5006260823,A5084483965,A5113912805,A5107926219,A5029961086,A5026413767,A5110906605,A5100781180,A5002758767,A5035907008,A5068032683,A5078832673,A5085934063,A5030094802,A5017054765,A5062037359,A5012235172,A5048877321,A5037982462,A5032495968,A5050120227,A5015796792,A5016293332,A5009283382,A5006820691,A5013651350,A5110997178,A5112522986,A5113963958,A5048448601,A5050473276,A5047221475,A5011663896,A5049582382,A5091863515,A5010206657,A5044523693,A5090932299,A5065404687,A5070246213,A5077743551,A5078926615,A5035782352,A5085862062",13644,True,False,01406736,Q1,The Lancet
W2302501749,2016,53,"A5067974158,A5044836472,A5028351438,A5030388625,A5027743525,A5103172054,A5010916394,A5069885178,A5067310105,A5075833022,A5061463439,A5007022165,A5007020202,A5056421325,A5086032272,A5050655123,A5091565842,A5075750072,A5091360374,A5086246448,A5016133956,A5034924491,A5027899893,A5076014872,A5103164604,A5021033668,A5033074461,A5016394820,A5069864756,A5012010960,A5076459682,A5061037631,A5082106745,A5074742346,A5052620448,A5018395535,A5021179422,A5010012493,A5008806860,A5043231938,A5027225010,A5003303412,A5082263504,A5052368642,A5039828193,A5023215576,A5053857782,A5001384753,A5048705669,A5056816256,A5087859284,A5100744623,A5070745825",13566,True,False,20524463,Q1,Scientific Data
W2737217596,2017,3,"A5046986222,A5084129541,A5074822720",13549,True,True,23752548,Q1,Science Advances
W2531269403,2016,35,"A5015955757,A5084268825,A5049611346,A5016408852,A5023729007,A5035597551,A5029738421,A5042962646,A5109313491,A5065028933,A5072810129,A5053750539,A5049972945,A5009420648,A5110728949,A5066377848,A5038409870,A5072911500,A5064604634,A5060375617,A5084456614,A5068121257,A5108622069,A5070111795,A5071868716,A5110728734,A5034465718,A5022067453,A5103755094,A5081918217,A5074189299,A5109226276,A5035644440,A5077388783,A5031195893",13246,True,False,17561833,Q1,BMJ
W2614081736,2017,5,"A5004613714,A5019880902,A5091416583,A5085983122,A5023435254",13067,True,False,15487091,Q1,Nature Methods
W2012034410,2015,36,"A5060241561,A5021112720,A5111957223,A5029528576,A5039653029,A5033316206,A5085999299,A5111811912,A5090268234,A5113666085,A5011552511,A5068024327,A5052101351,A5002591650,A5011856162,A5080838497,A5089680427,A5053939002,A5044920044,A5042500540,A5109214692,A5065295688,A5056614607,A5006871697,A5005928603,A5084408140,A5032913515,A5107368587,A5040376096,A5110017313,A5020089964,A5035416322,A5052117578,A5007682824,A5083238115,A5005639182",12927,False,True,00368075,Q1,Science
W2614464134,2017,2,"A5089844972,A5044124578",12909,False,False,08998418,Q1,International Journal of Climatology
W2949177718,2019,10,"A5003957777,A5042529830,A5078971011,A5072183933,A5045393597,A5065039556,A5014193997,A5084129649,A5039402589,A5058180202",12849,True,True,00928674,Q1,Cell
W2751884637,2017,100,"A5007119101,A5028564284,A5102838811,A5022331752,A5020081921,A5081409858,A5002323246,A5053290774,A5078108923,A5012390350,A5061188268,A5014846631,A5053699466,A5075629581,A5028307745,A5007447653,A5028948429,A5103228283,A5001428430,A5022120849,A5102714914,A5004513221,A5042862791,A5070575670,A5004409906,A5065330767,A5068445866,A5022954543,A5103059135,A5029599827,A5009474972,A5047490642,A5061878115,A5085634981,A5101711502,A5087188542,A5010826389,A5017879318,A5028043034,A5033522829,A5026413767,A5110906605,A5085268925,A5080029319,A5035907008,A5105767766,A5088608291,A5068032683,A5039387424,A5030191753,A5110888093,A5076580271,A5016157357,A5008064001,A5000535250,A5044523693,A5072019647,A5106825750,A5051317373,A5078486897,A5070786393,A5046220823,A5000945776,A5030415994,A5060925387,A5077065951,A5025988070,A5047209638,A5108825692,A5003956918,A5072175850,A5023312635,A5023083016,A5107866356,A5014574924,A5003138186,A5033911261,A5043576974,A5046463442,A5088459011,A5059081487,A5044797461,A5110417465,A5056195804,A5059987720,A5012925236,A5080587787,A5015908820,A5009138922,A5010365641,A5063906396,A5014251117,A5050343521,A5072934426,A5006441143,A5003653484,A5073251781,A5067433332,A5069365003,A5011132921",12461,True,True,01406736,Q1,The Lancet
W2252795400,2016,100,"A5109427038,A5107906377,A5113097922,A5107859388,A5002195232,A5034442699,A5107891979,A5108111724,A5041720834,A5030348289,A5106633139,A5090201600,A5006008915,A5010511297,A5109437526,A5016456498,A5076524597,A5066588619,A5078466233,A5038143809,A5047124984,A5101810233,A5107384595,A5032526109,A5091170113,A5067490683,A5018750481,A5079982985,A5001050363,A5064205935,A5005824396,A5027404123,A5072459113,A5034372469,A5111881343,A5050116062,A5084776987,A5019185901,A5006144170,A5039350162,A5107886178,A5050974465,A5108121258,A5107859595,A5110292972,A5107843401,A5105756365,A5040898326,A5107827931,A5041860747,A5052609714,A5084932813,A5106133377,A5055919095,A5046364141,A5041849317,A5035970226,A5032742544,A5106134471,A5108095589,A5108111366,A5007133266,A5055853592,A5042650160,A5013126508,A5021141546,A5113599157,A5011367139,A5001026179,A5102998026,A5038418562,A5091126395,A5057296833,A5057437867,A5108094849,A5050737016,A5112681066,A5101886811,A5021058049,A5105889424,A5046147926,A5108002919,A5113697895,A5105788435,A5069091174,A5105782865,A5025172623,A5108098297,A5042091349,A5058336960,A5107908421,A5031116857,A5110497214,A5112537795,A5032709770,A5064368409,A5110313994,A5005089016,A5017940922,A5110903983",12307,True,True,00319007,Q1,Physical Review Letters
W2593436234,2017,3,"A5088300158,A5009968141,A5049236772",12272,True,False,20452322,Q1,Scientific Reports
W3003217347,2020,19,"A5075948251,A5100948092,A5101859848,A5100713206,A5100396357,A5102349247,A5031491320,A5101069863,A5108616767,A5101069861,A5100549297,A5108535025,A5055047494,A5100330449,A5101767378,A5101069862,A5044991058,A5085736091,A5108122695",12261,True,False,00280836,Q1,Nature
W2549976854,2016,8,"A5086637902,A5005481725,A5069611753,A5004588641,A5059361843,A5084886246,A5032177670,A5005935857",12251,True,False,20452322,Q1,Scientific Reports
W3004318991,2020,35,"A5112492347,A5079882302,A5100421060,A5045195522,A5072820962,A5020221893,A5057178901,A5028877051,A5063481153,A5112999757,A5012009078,A5078433604,A5109113291,A5100610403,A5100706807,A5101505662,A5042500556,A5031311736,A5006025566,A5100783112,A5101980256,A5100386457,A5100765334,A5041310127,A5101650950,A5005516914,A5113795755,A5101759768,A5102005952,A5085736091,A5015873777,A5042900498,A5076097741,A5079289072,A5053933911",12164,True,True,01406736,Q1,The Lancet
W4315754639,2023,4,"A5047300895,A5015181760,A5089336149,A5009198168",12016,True,False,00079235,Q1,CA A Cancer Journal for Clinicians
W2964309882,2018,5,"A5103273466,A5006455453,A5034294456,A5048629871,A5030402556",11983,False,False,03029743,Q2,Lecture notes in computer science
W2170552969,2015,3,"A5047300895,A5015181760,A5009198168",11710,True,False,00079235,Q1,CA A Cancer Journal for Clinicians
